Threshold,Accuracy,Precision,Recall,F1-Score,Lift,PredictedPositive
0.05,0.7716950527169505,0.39750849377123443,0.918848167539267,0.5549407114624506,2.566115040942053,883
0.1,0.8369829683698297,0.48502994011976047,0.8481675392670157,0.6171428571428571,3.1311095087312286,668
0.15,0.8560421735604218,0.5234782608695652,0.7879581151832461,0.6290491118077325,3.3793125426815385,575
0.2,0.8669910786699108,0.551923076923077,0.7513089005235603,0.6363636363636364,3.5629379782521147,520
0.25,0.8738848337388483,0.5747368421052632,0.7146596858638743,0.6371061843640606,3.7102121796638197,475
0.3,0.8787510137875101,0.5941043083900227,0.6858638743455497,0.6366950182260024,3.835238807564911,441
0.35,0.883617193836172,0.6161369193154034,0.6596858638743456,0.6371681415929203,3.977470269716714,409
0.4,0.8819951338199513,0.6181818181818182,0.6230366492146597,0.6205997392438071,3.9906711089957163,385
0.45,0.8856447688564477,0.6388888888888888,0.6020942408376964,0.6199460916442049,4.124345549738219,360
0.5,0.8868613138686131,0.6537313432835821,0.5732984293193717,0.6108786610878661,4.220160975228569,335
0.55,0.8905109489051095,0.6866666666666666,0.5392670157068062,0.6041055718475073,4.432774869109948,300
0.6,0.8901054339010543,0.7032967032967034,0.5026178010471204,0.5862595419847328,4.540130027041022,273
0.65,0.8909164639091647,0.7325102880658436,0.46596858638743455,0.5696,4.728718247042854,243
0.7,0.8909164639091647,0.7579908675799086,0.43455497382198954,0.5524126455906821,4.893208061392813,219
0.75,0.8901054339010543,0.7905759162303665,0.39528795811518325,0.5270506108202443,5.1035607576546695,191
0.8,0.8880778588807786,0.8117647058823529,0.3612565445026178,0.5,5.240344933785033,170
0.85,0.8864557988645579,0.8591549295774648,0.3193717277486911,0.46564885496183206,5.5462723987906495,142
0.9,0.8771289537712895,0.8691588785046729,0.24345549738219896,0.3803680981595092,5.610852864901894,107
0.95,0.8706407137064072,0.9090909090909091,0.18324607329842932,0.30501089324618735,5.8686339838172294,77
