Arm,Tier,FeatureSet,Model,SamplingTechnique,AUC,F1@0.5,BestF1,BestThreshold,F1Gain
with PageValues,analysis-ceiling,top10,RandomForest,undersampling,0.911780481554803,0.6,0.6465408805031446,0.78,0.046540880503144644
with PageValues,analysis-ceiling,top10,RandomForest,class_weighted,0.9124110651083799,0.6449359720605355,0.6510416666666666,0.6,0.006105694606131085
with PageValues,analysis-ceiling,top10,XGBoost,base,0.9158642009426092,0.6108786610878661,0.6382978723404256,0.34,0.027419211252559417
with PageValues,analysis-ceiling,top10,XGBoost,oversampling,0.9087224025484619,0.6231386025200458,0.6452476572958501,0.71,0.02210905477580427
with PageValues,analysis-ceiling,top10,XGBoost,undersampling,0.9077281657304218,0.5996309963099631,0.6419161676646706,0.84,0.04228517135470755
with PageValues,analysis-ceiling,top10,XGBoost,class_weighted,0.9139781029232948,0.6490218642117376,0.6495925494761351,0.52,0.0005706852643975191
telemetry only,production,full,KNN,base,0.6407181115655556,0.18761726078799248,0.3261538461538461,0.01,0.13853658536585364
telemetry only,production,full,KNN,oversampling,0.6230466983549557,0.30522088353413657,0.32595325953259535,0.01,0.020732375998458785
telemetry only,production,full,KNN,undersampling,0.6789682798886556,0.35169210351692104,0.35169210351692104,0.41,0.0
telemetry only,production,full,SVM,base,0.6920754991910443,0.04,0.3696529459241324,0.15,0.3296529459241324
telemetry only,production,full,SVM,oversampling,0.7292070725849403,0.3880597014925373,0.39096267190569745,0.6,0.002902970413160122
telemetry only,production,full,SVM,undersampling,0.733954035232286,0.37748798901853126,0.3935483870967742,0.57,0.016060398078242943
telemetry only,production,full,SVM,class_weighted,0.7351976163439218,0.03526448362720403,0.39323126510878326,0.18,0.35796678148157923
telemetry only,production,full,LogisticRegression,base,0.7263141763222156,0.054455445544554455,0.39123630672926446,0.18,0.33678086118471
telemetry only,production,full,LogisticRegression,oversampling,0.7282586849695009,0.3745727956254272,0.38996763754045305,0.55,0.015394841915025825
telemetry only,production,full,LogisticRegression,undersampling,0.722389987036609,0.3724320742213386,0.3838383838383838,0.6,0.011406309617045196
telemetry only,production,full,LogisticRegression,class_weighted,0.7280627267337278,0.37397260273972605,0.38875878220140514,0.54,0.014786179461679094
telemetry only,production,full,RandomForest,base,0.7447618856206851,0.14316702819956617,0.40408805031446543,0.19,0.26092102211489926
telemetry only,production,full,RandomForest,oversampling,0.7508397312859885,0.2727272727272727,0.40860215053763443,0.27,0.13587487781036173
telemetry only,production,full,RandomForest,undersampling,0.7564100953663414,0.4011026878015162,0.40714285714285714,0.59,0.00604016934134094
telemetry only,production,full,RandomForest,class_weighted,0.7446683030016782,0.3268698060941828,0.397196261682243,0.32,0.07032645558806017
telemetry only,production,full,XGBoost,base,0.7432092934449459,0.21153846153846154,0.3992707383773929,0.19,0.18773227683893137
telemetry only,production,full,XGBoost,oversampling,0.7312081076463909,0.3843843843843844,0.38461538461538464,0.46,0.00023100023100025568
