Arm,Model,SamplingTechnique,AUC,F1@0.5,BestF1,BestThreshold
with PageValues,RandomForest,smote,0.9188519359668781,0.6574712643678161,0.6577181208053692,0.46
telemetry only,RandomForest,smote,0.7390589985026781,0.36013590033975085,0.39042357274401474,0.43
