Threshold,Accuracy,Precision,Recall,F1-Score,Lift,PredictedPositive
0.05,0.23641524736415248,0.16836058329650905,0.9973821989528796,0.2880907372400756,1.086851304736103,2263
0.1,0.28061638280616386,0.17627906976744187,0.9921465968586387,0.29936808846761453,1.1379690734201875,2150
0.15,0.3191403081914031,0.18381277425646025,0.9869109947643979,0.3099054665022606,1.1866028830273063,2051
0.2,0.35928629359286296,0.19282051282051282,0.9842931937172775,0.32246998284734135,1.2447523157470801,1950
0.25,0.39740470397404704,0.20162162162162162,0.9764397905759162,0.3342293906810036,1.301567850573086,1850
0.3,0.44363341443633414,0.21120186697782964,0.9476439790575916,0.34541984732824427,1.3634130993909108,1714
0.35,0.4910786699107867,0.2239089184060721,0.9267015706806283,0.36067244014263883,1.4454434366213975,1581
0.4,0.545823195458232,0.23829787234042554,0.8795811518324608,0.375,1.5383312910771973,1410
0.45,0.5961070559610706,0.2536115569823435,0.8272251308900523,0.3882063882063882,1.6371887421949192,1246
0.5,0.6476074614760746,0.2722170252572498,0.7617801047120419,0.4011026878015162,1.7572962939381622,1069
0.55,0.6922141119221411,0.28700564971751413,0.6649214659685864,0.40094711917916337,1.8527642204277222,885
0.6,0.7380373073803731,0.3108882521489971,0.5680628272251309,0.40185185185185185,2.006938297904259,698
0.65,0.7672343876723439,0.3241758241758242,0.46335078534031415,0.38146551724137934,2.092716184339221,546
0.7,0.7968369829683698,0.34782608695652173,0.35602094240837695,0.351875808538163,2.2453903938083313,391
0.75,0.8150851581508516,0.3531746031746032,0.23298429319371727,0.2807570977917981,2.279917726252805,252
0.8,0.8321167883211679,0.40588235294117647,0.1806282722513089,0.25,2.6201724668925164,170
0.85,0.8369829683698297,0.391304347826087,0.09424083769633508,0.1518987341772152,2.5260641930343732,92
0.9,0.8442822384428224,0.47619047619047616,0.05235602094240838,0.09433962264150944,3.0740463724756917,42
0.95,0.8438767234387672,0.2857142857142857,0.005235602094240838,0.010282776349614395,1.844427823485415,7
