Threshold,Accuracy,Precision,Recall,F1-Score,Lift,PredictedPositive
0.05,0.47850770478507704,0.2131979695431472,0.8795811518324608,0.3432073544433095,1.3762989342759189,1576
0.1,0.5993511759935117,0.24322033898305084,0.7513089005235603,0.3674775928297055,1.5701082616026267,1180
0.15,0.6759935117599352,0.26755852842809363,0.6282722513089005,0.3752931978107897,1.7272233798525627,897
0.2,0.7230332522303325,0.2828282828282828,0.5130890052356021,0.36465116279069765,1.8257972394098048,693
0.25,0.7639902676399026,0.30916030534351147,0.42408376963350786,0.3576158940397351,1.9957835418248673,524
0.3,0.7875101378751014,0.3285024154589372,0.35602094240837695,0.3417085427135678,2.120646483041202,414
0.35,0.8098134630981346,0.36012861736334406,0.2931937172774869,0.32323232323232326,2.324809346643996,311
0.4,0.8219789132197891,0.37554585152838427,0.225130890052356,0.281505728314239,2.4243352614371614,229
0.45,0.8284671532846716,0.38011695906432746,0.17015706806282724,0.23508137432188064,2.4538440341691925,171
0.5,0.8365774533657745,0.4146341463414634,0.13350785340314136,0.201980198019802,2.6766696462776145,123
0.55,0.8398215733982157,0.42857142857142855,0.10209424083769633,0.1649048625792812,2.7666417352281227,91
0.6,0.8446877534468775,0.4918032786885246,0.07853403141361257,0.13544018058690746,3.1748347781306325,61
0.65,0.8450932684509327,0.5,0.05759162303664921,0.10328638497652583,3.2277486910994764,44
0.7,0.8487429034874291,0.6451612903225806,0.05235602094240838,0.09685230024213075,4.164837020773518,31
0.75,0.8475263584752636,0.6363636363636364,0.03664921465968586,0.06930693069306931,4.108043788672061,22
0.8,0.8475263584752636,0.7142857142857143,0.02617801047120419,0.050505050505050504,4.611069558713538,14
0.85,0.8454987834549879,0.6,0.007853403141361256,0.015503875968992248,3.8732984293193717,5
0.9,0.8454987834549879,1.0,0.002617801047120419,0.005221932114882507,6.455497382198953,1
0.95,0.8454987834549879,1.0,0.002617801047120419,0.005221932114882507,6.455497382198953,1
